country,economyrank,economyrankposition
World,"83,844,988
", 
United States,"20,807,269
",1
China,"14,860,775
",2
Japan,"4,910,580
",3
Germany,"3,780,553
",4
United Kingdom,"2,638,296
",5
India,"2,592,583
",6
France,"2,551,451
",7
Italy,"1,848,222
",8
Canada,"1,600,264
",9
South Korea,"1,586,786
",10
Russia,"1,464,078
",11
Brazil,"1,363,767
",12
Australia,"1,334,688
",13
Spain,"1,247,464
",14
Indonesia,"1,088,768
",15
Mexico,"1,040,372
",16
Netherlands,"886,339
",17
Switzerland,"707,868
",18
Saudi Arabia,"680,897
",19
Turkey,"649,436
",20
Taiwan,"635,547
",21
Iran,"610,662
",22
Poland,"580,894
",23
Sweden,"529,054
",24
Thailand,"509,200
",25
Belgium,"503,416
",26
Nigeria,"442,976
",27
Austria,"432,894
",28
Ireland,"399,064
",29
Israel,"383,425
",30
Argentina,"382,760
",31
Philippines,"367,362
",32
Norway,"366,386
",33
Egypt,"361,875
",34
United Arab Emirates,"353,899
",35
Hong Kong,"341,319
",36
Vietnam,"340,602
",37
Denmark,"339,626
",38
Singapore,"337,451
",39
Malaysia,"336,330
",40
Bangladesh,"317,768
",41
South Africa,"282,588
",42
Pakistan,"276,200
",43
Finland,"267,856
",44
Colombia,"264,933
",45
Romania,"248,624
",46
Chile,"245,414
",47
Czech Republic,"241,975
",48
Portugal,"221,716
",49
Peru,"195,761
",50
Greece,"194,376
",51
New Zealand,"193,545
",52
Iraq,"178,112
",53
Kazakhstan,"165,730
",54
Hungary,"149,939
",55
Qatar,"147,791
",56
Algeria,"147,323
",57
Ukraine,"142,250
",58
Morocco,"112,220
",59
Kuwait,"108,656
",60
Slovakia,"101,892
",61
Kenya,"101,048
",62
Ethiopia,"95,588
",63
Puerto Rico,"93,968
",64
Ecuador,"93,078
",65
Sri Lanka,"81,120
",66
Dominican Republic,"77,883
",67
Guatemala,"76,191
",68
Myanmar,"70,890
",69
Luxembourg,"68,613
",70
Bulgaria,"67,917
",71
Ghana,"67,337
",72
Tanzania,"64,123
",73
Angola,"62,724
",74
Oman,"62,305
",75
Côte d'Ivoire,"61,502
",76
Panama,"60,286
",77
Uzbekistan,"59,771
",78
Costa Rica,"59,645
",79
Belarus,"57,708
",80
Croatia,"56,768
",81
Lithuania,"55,064
",82
Uruguay,"54,135
",83
Serbia,"51,999
",84
Slovenia,"51,802
",85
Venezuela,"48,610
",86
Turkmenistan,"47,986
",87
"Congo, Democratic Republic of the","46,062
",88
Jordan,"42,609
",89
Azerbaijan,"41,666
",90
Tunisia,"39,226
",91
Cameroon,"39,036
",92
Bolivia,"38,938
",93
Uganda,"37,733
",94
Paraguay,"35,606
",95
Bahrain,"34,624
",96
Latvia,"33,015
",97
Sudan,"32,576
",98
Nepal,"32,158
",99
Estonia,"30,468
",100
Cambodia,"26,316
",101
Macau,"26,348
",102
El Salvador,"24,784
",103
Senegal,"24,409
",104
Honduras,"23,984
",105
Papua New Guinea,"23,283
",106
Cyprus,"23,246
",107
Trinidad and Tobago,"22,718
",108
Libya,"21,805
",109
Yemen,"20,948
",110
Iceland,"20,805
",111
Afghanistan,"19,006
",112
Zambia,"18,909
",113
Bosnia and Herzegovina,"18,893
",114
Lebanon,"18,734
",115
Laos,"18,653
",116
Mali,"17,685
",117
Georgia,"16,316
",118
Burkina Faso,"16,082
",119
Botswana,"15,872
",120
Benin,"15,292
",121
Gabon,"15,145
",122
Palestine,"14,750
",123
Mozambique,"14,557
",124
Malta,"14,290
",125
Guinea,"14,238
",126
Jamaica,"14,228
",127
Madagascar,"14,199
",128
Albania,"14,034
",129
Zimbabwe,"14,002
",130
Mongolia,"13,385
",131
Niger,"12,971
",132
Armenia,"12,813
",133
North Macedonia,"12,510
",134
Nicaragua,"11,905
",135
The Bahamas,"11,560
",136
Mauritius,"11,341
",137
Moldova,"11,241
",138
Brunei,"10,647
",139
Chad,"10,510
",140
Rwanda,"10,428
",141
Namibia,"10,252
",142
Equatorial Guinea,"10,028
",143
"Congo, Republic of the","9,964
",144
Haiti,"8,347
",145
Malawi,"8,330
",146
Tajikistan,"7,898
",147
Kosovo,"7,484
",148
Kyrgyzstan,"7,480
",149
Mauritania,"7,428
",150
Guyana,"6,806
",151
Togo,"5,719
",152
Montenegro,"4,943
",153
Somalia,"4,918
",154
Maldives,"4,712
",155
Barbados,"4,630
",156
South Sudan,"4,177
",157
Sierra Leone,"4,140
",158
Fiji,"3,932
",159
Eswatini,"3,848
",160
Djibouti,"3,408
",161
Burundi,"3,131
",162
Liberia,"3,068
",163
Bhutan,"2,587
",164
Suriname,"2,538
",165
Central African Republic,"2,321
",166
Aruba,"2,288
",167
Eritrea,"2,075
",168
Timor-Leste,"1,920
",169
Lesotho,"1,906
",170
Cabo Verde,"1,870
",171
The Gambia,"1,806
",172
Saint Lucia,"1,770
",173
Belize,"1,556
",174
Solomon Islands,"1,551
",175
San Marino,"1,410
",176
Guinea-Bissau,"1,392
",177
Antigua and Barbuda,"1,389
",178
Comoros,"1,200
",179
Seychelles,"1,198
",180
Grenada,"1,074
",181
Saint Kitts and Nevis,"871
",182
Vanuatu,"864
",183
Samoa,"829
",184
Saint Vincent and the Grenadines,"777
",185
Dominica,"545
",186
Tonga,"503
",187
São Tomé and Príncipe,"417
",188
"Micronesia, Federated States of","395
",189
Palau,"251
",190
Marshall Islands,"225
",191
Kiribati,"194
",192
Nauru,"114
",193
Tuvalu,"45
",194
Syria
